Rank,Team,W-L,Pyth,AdjO,AdjD,AdjT,Luck,OppPyth,OppO,OppD,NCOppPyth,kag_id,kag_yr
313,New Orleans,11-15,.1781,96.9,110.7,71.5,+.065,.3858,103.4,107.7,.8129,703,S
314,Rice,7-23,.1777,93.9,107.3,64.0,-.008,.4963,103.6,103.7,.4890,742,S
315,Northern Kentucky,9-21,.1760,102.0,116.6,63.4,-.044,.3547,101.9,107.4,.4445,691,S
316,Samford,13-20,.1748,100.7,115.2,67.3,+.010,.3322,101.7,108.1,.4506,752,S
317,UNC Greensboro,14-18,.1744,95.1,108.8,70.6,+.054,.3269,101.9,108.5,.4372,815,S
318,UC Davis,9-22,.1740,101.5,116.2,66.6,+.035,.4416,103.8,105.9,.4014,806,S
319,Prairie View A&M,11-23,.1730,96.4,110.4,67.3,+.004,.3490,101.0,106.7,.7010,734,S
320,Tennessee Martin,8-23,.1676,103.1,118.5,69.5,-.065,.3693,103.4,108.3,.4292,797,S
321,Alcorn St.,12-19,.1671,94.4,108.6,63.8,-.014,.3226,100.5,107.2,.6685,508,S
322,LIU Brooklyn,9-20,.1633,102.2,117.8,68.1,+.076,.3975,101.9,105.7,.4635,648,S
323,Delaware St.,9-21,.1585,97.4,112.6,60.0,-.063,.3450,100.3,106.1,.6135,571,S
324,Arkansas Pine Bluff,13-18,.1577,92.2,106.7,66.8,+.089,.3799,101.5,106.0,.7819,514,S
325,UMass Lowell,10-18,.1489,95.1,110.6,64.8,+.063,.4183,101.9,104.9,.6318,656,S
326,UMBC,9-21,.1430,92.6,108.2,68.7,-.003,.3628,101.0,106.1,.4603,813,S
327,Central Arkansas,8-21,.1378,95.8,112.4,72.3,-.010,.3731,103.0,107.7,.5254,542,S
328,IUPUI,6-26,.1320,96.7,113.9,66.0,-.037,.4978,104.9,105.0,.4882,631,S
329,New Hampshire,6-24,.1313,89.3,105.3,62.7,-.086,.3698,101.4,106.2,.4643,700,S
330,Campbell,12-20,.1235,97.9,116.0,63.8,+.058,.3217,102.4,109.2,.4323,540,S
331,Appalachian St.,9-21,.1187,91.5,108.9,66.2,-.034,.3464,102.7,108.5,.5775,510,S
332,Howard,8-25,.1170,87.8,104.6,67.8,-.027,.4164,102.7,105.8,.6558,619,S
333,Binghamton,7-23,.1146,92.2,110.1,65.9,-.018,.3619,101.2,106.4,.4598,524,S
334,Maryland Eastern Shore,6-24,.1119,100.0,119.7,67.0,-.036,.3419,100.0,105.8,.5426,665,S
335,Stetson,7-24,.1071,94.4,113.5,63.6,+.032,.3715,102.6,107.4,.4482,784,S
