"200","Ohio","28","18","10",".643","9.18","2.51","12","6","","","","","2127","1896","","732","1564",".468","159","474",".335","504","731",".689","","1201","448","215","103","",""
"201","Oklahoma State","34","23","11",".676","12.64","5.55","10","6","","","","","2431","2145","","851","1920",".443","232","643",".361","497","709",".701","","1288","578","262","99","",""
"202","Oklahoma","33","22","11",".667","13.14","4.82","11","5","","","","","2246","1980","","776","1844",".421","274","707",".388","420","645",".651","","1316","448","229","124","",""
"203","Old Dominion","34","25","9",".735","4.48","-1.68","11","5","","","","","2431","2200","","858","1915",".448","220","610",".361","495","711",".696","","1471","532","250","248","",""
"204","Oral Roberts","28","17","11",".607","0.42","-2.89","10","4","","","","","2166","2063","","782","1625",".481","200","526",".380","402","588",".684","","1059","457","219","68","",""
"205","Oregon State","27","13","14",".481","5.78","7.14","7","11","","","","","1747","1744","","618","1433",".431","161","460",".350","350","567",".617","","1091","339","173","97","",""
"206","Oregon","32","19","13",".594","11.32","8.84","8","10","","","","","2415","2318","","839","1905",".440","243","669",".363","494","719",".687","","1401","526","194","111","",""
"207","Pacific","27","14","13",".519","-3.42","-3.42","9","7","","","","","1850","1762","","626","1422",".440","226","594",".380","372","509",".731","","1042","417","122","60","",""
"208","Penn State","27","13","14",".481","11.17","8.61","5","11","","","","","1870","1801","","649","1453",".447","197","560",".352","373","500",".746","","957","417","175","131","",""
"209","Pennsylvania","27","21","6",".778","6.50","-3.91","13","1","","","","","1921","1640","","689","1469",".469","208","529",".393","335","515",".650","","1064","412","149","81","",""
"210","Pepperdine","32","19","13",".594","3.17","1.87","9","5","","","","","2101","2023","","771","1700",".454","132","427",".309","427","653",".654","","1170","441","215","117","",""
"211","Pittsburgh","30","14","16",".467","4.06","7.23","5","13","","","","","2017","2112","","758","1822",".416","159","518",".307","342","488",".701","","1149","405","338","122","",""
"212","Portland State","28","17","11",".607","-0.91","-2.84","9","7","","","","","2216","2075","","747","1666",".448","250","682",".367","472","657",".718","","1132","481","168","48","",""
"213","Portland","27","9","18",".333","-5.59","0.33","3","11","","","","","1820","1878","","658","1524",".432","135","405",".333","369","561",".658","","940","373","266","86","",""
"214","Prairie View","27","6","21",".222","-25.56","-9.61","4","12","","","","","1974","2296","","709","1871",".379","178","593",".300","378","667",".567","","1362","299","270","108","",""
"215","Princeton","30","22","8",".733","5.63","-2.64","11","3","","","","","1858","1585","","647","1414",".458","229","678",".338","335","453",".740","","937","449","252","104","",""
"216","Providence","30","16","14",".533","8.30","8.33","9","9","","","","","2284","2285","","805","1928",".418","170","549",".310","504","707",".713","","1183","480","336","65","",""
"217","Purdue","34","21","13",".618","13.22","10.42","7","9","","","","","2328","2233","","813","1853",".439","183","576",".318","519","774",".671","","1262","482","274","109","",""
"218","Quinnipiac","27","9","18",".333","-17.32","-7.36","6","14","","","","","1837","2067","","641","1469",".436","136","408",".333","419","615",".681","","1050","380","183","57","",""
"219","Radford","28","20","8",".714","-6.41","-9.27","8","2","","","","","2195","2012","","758","1664",".456","202","622",".325","477","698",".683","","955","436","340","88","",""
"220","Rhode Island","33","20","13",".606","9.52","5.59","10","6","","","","","2377","2245","","881","1912",".461","130","380",".342","485","731",".663","","1333","468","194","149","",""
"221","Rice","28","18","10",".643","6.80","1.73","8","6","","","","","1911","1737","","641","1475",".435","179","501",".357","450","686",".656","","1154","373","190","79","",""
"222","Richmond","27","15","12",".556","-2.34","-3.49","10","6","","","","","1816","1785","","647","1447",".447","169","469",".360","353","491",".719","","954","347","153","110","",""
"223","Rider","28","12","16",".429","-3.89","-4.89","7","11","","","","","2053","2025","","703","1543",".456","181","473",".383","466","670",".696","","1102","438","215","80","",""
"224","Robert Morris","27","15","12",".556","-6.55","-8.17","12","8","","","","","1951","1870","","675","1529",".441","149","423",".352","452","594",".761","","1041","381","215","40","",""
"225","Rutgers","32","19","13",".594","12.30","7.30","9","9","","","","","2248","2088","","740","1663",".445","198","548",".361","570","808",".705","","1148","466","260","85","",""
"226","Sacramento State","26","3","23",".115","-18.40","-0.67","3","13","","","","","1568","2029","","598","1570",".381","179","548",".327","193","348",".555","","948","333","198","104","",""
"227","Saint Francis (PA)","26","9","17",".346","-12.74","-8.24","7","13","","","","","1751","1868","","634","1476",".430","151","461",".328","332","530",".626","","944","359","219","71","",""
"228","Saint Joseph's","30","12","18",".400","2.18","5.04","5","11","","","","","1981","2028","","700","1759",".398","161","474",".340","420","666",".631","","1173","396","180","116","",""
"229","Saint Louis","31","15","16",".484","8.77","7.19","8","8","","","","","2024","1975","","712","1684",".423","186","538",".346","414","607",".682","","1120","430","260","79","",""
"230","Saint Mary's (CA)","31","13","18",".419","-2.48","0.22","5","9","","","","","2108","2182","","709","1738",".408","267","737",".362","420","601",".699","","1176","440","171","45","",""
"231","Saint Peter's","29","14","15",".483","-6.35","-5.00","10","8","","","","","2021","2060","","761","1704",".447","95","276",".344","404","607",".666","","1149","450","257","97","",""
"232","Sam Houston State","26","10","16",".385","-13.10","-6.18","7","11","","","","","1832","1990","","653","1534",".426","151","489",".309","375","531",".706","","1025","388","189","54","",""
"233","Samford","30","24","6",".800","0.17","-9.16","15","1","","","","","2188","1881","","729","1487",".490","278","762",".365","452","657",".688","","980","482","235","94","",""
"234","San Diego State","26","4","22",".154","-11.73","2.19","2","12","","","","","1745","2039","","615","1498",".411","131","437",".300","384","627",".612","","965","333","206","58","",""
"235","San Diego","27","18","9",".667","3.45","-0.87","9","5","","","","","1823","1677","","619","1323",".468","152","424",".358","433","593",".730","","1001","385","143","53","",""
"236","San Francisco","30","12","18",".400","-2.93","2.38","4","10","","","","","1905","2043","","649","1629",".398","166","526",".316","441","659",".669","","1179","367","223","103","",""
"237","San Jose State","28","12","16",".429","0.07","0.77","5","9","","","","","1827","1805","","662","1505",".440","132","365",".362","371","588",".631","","1028","397","197","53","",""
"238","Santa Clara","29","14","15",".483","-1.69","1.62","8","6","","","","","1886","1982","","639","1513",".422","143","412",".347","465","652",".713","","1083","354","135","63","",""
"239","Seton Hall","30","15","15",".500","9.42","8.04","8","10","","","","","2029","1927","","718","1714",".419","162","507",".320","432","592",".730","","1144","430","225","127","",""
"240","Siena","31","25","6",".806","2.07","-4.87","13","5","","","","","2686","2473","","884","1966",".450","246","662",".372","672","854",".787","","1330","495","321","115","",""
"241","South Alabama","27","11","16",".407","-4.25","0.83","6","8","","","","","1611","1728","","595","1346",".442","90","293",".307","331","524",".632","","980","410","189","30","",""
"242","South Carolina State","29","17","12",".586","-11.75","-9.34","14","4","","","","","1905","1976","","655","1673",".392","180","511",".352","415","635",".654","","1266","328","176","131","",""
"243","South Carolina","29","8","21",".276","0.57","8.12","3","13","","","","","1745","1964","","622","1563",".398","168","503",".334","333","497",".670","","1073","333","191","89","",""
"244","South Florida","28","14","14",".500","7.93","4.00","6","10","","","","","2006","1896","","746","1716",".435","130","436",".298","385","652",".590","","1185","423","293","106","",""
"245","Southeast Missouri State","29","20","9",".690","0.99","-4.49","15","3","","","","","2044","1834","","718","1594",".450","167","491",".340","441","611",".722","","1166","398","183","117","",""
"246","Southeastern Louisiana","26","6","20",".231","-22.23","-6.81","3","15","","","","","1825","2158","","647","1600",".404","175","498",".351","356","563",".632","","1129","323","182","84","",""
"247","Southern California","28","15","13",".536","11.27","7.63","7","11","","","","","2123","2021","","752","1706",".441","182","529",".344","437","630",".694","","1157","437","264","124","",""
"248","Southern Illinois","27","15","12",".556","7.32","5.43","10","8","","","","","1746","1695","","611","1525",".401","213","642",".332","311","496",".627","","1067","410","202","61","",""
"249","Southern Methodist","30","15","15",".500","2.05","2.73","7","7","","","","","2236","2232","","788","1970",".400","190","631",".301","470","732",".642","","1378","355","248","123","",""
"250","Southern Mississippi","30","14","16",".467","4.16","2.96","6","10","","","","","1871","1835","","650","1531",".425","126","400",".315","445","626",".711","","1095","366","202","90","",""
"251","Southern Utah","30","13","17",".433","-7.62","-3.12","6","8","","","","","2193","2264","","766","1690",".453","200","573",".349","461","652",".707","","1129","454","219","123","",""
"252","Southern","28","21","7",".750","-7.21","-13.92","13","3","","","","","2372","2155","","844","1876",".450","142","436",".326","542","791",".685","","1286","401","324","108","",""
"253","St. Bonaventure","29","14","15",".483","0.97","2.01","8","8","","","","","1860","1890","","684","1675",".408","127","492",".258","365","553",".660","","1145","330","283","135","",""
"254","St. Francis (NY)","28","20","8",".714","-3.61","-7.58","16","4","","","","","2246","2125","","767","1733",".443","232","660",".352","480","712",".674","","1101","455","315","84","",""
"255","St. John's (NY)","37","28","9",".757","22.71","9.09","14","4","","","","","2924","2420","","1070","2333",".459","226","633",".357","558","818",".682","","1503","617","365","121","",""
"256","Stanford","33","26","7",".788","22.21","10.34","15","3","","","","","2425","2006","","801","1830",".438","194","563",".345","629","891",".706","","1483","515","187","96","",""
"257","Stephen F. Austin","26","4","22",".154","-16.81","-6.41","2","16","","","","","1794","2038","","677","1597",".424","125","381",".328","315","492",".640","","1023","424","241","64","",""
"258","Stetson","27","14","13",".519","-8.20","-9.66","10","6","","","","","1860","1778","","674","1518",".444","106","300",".353","406","577",".704","","1117","371","193","64","",""
"259","Syracuse","33","21","12",".636","15.86","7.64","10","8","","","","","2387","2086","","879","1963",".448","184","591",".311","445","671",".663","","1401","538","328","229","",""
